round,date,win_1_group,win_1_number,win_2_group,win_2_number,2nd_1_1_group,2nd_1_1_number,2nd_1_2_group,2nd_1_2_number,2nd_2_1_group,2nd_2_1_number,2nd_2_2_group,2nd_2_2_number,3rd,4th,5th,6th_1,6th_2,7th_1,7th_2
228,20151111,2,838869,6,707059,2,838868,2,838870,6,707058,6,707060,261247,51659,0069,61,95,1,4
229,20151118,5,549704,6,347159,5,549703,5,549705,6,347158,6,347160,770580,32566,0541,56,77,5,8
230,20151125,1,963619,4,914821,1,963618,1,963620,4,914820,4,914822,895475,33574,0953,79,93,3,4
231,20151202,2,683829,5,944731,2,683828,2,683830,5,944730,5,944732,813773,89170,0688,40,71,6,7
232,20151209,1,422721,4,190475,1,422720,1,422722,4,190474,4,190476,910539,96170,0700,00,70,2,6
233,20151216,4,506084,7,124060,4,506083,4,506085,7,124059,7,124061,661772,71973,0294,03,75,2,6
234,20151223,1,118937,7,298149,1,118936,1,118938,7,298148,7,298150,576258,67680,0008,02,40,8,9
235,20151230,4,853814,6,593803,4,853813,4,853815,6,593802,6,593804,372104,07060,0835,78,84,1,6
236,20160106,2,601742,4,897687,2,601741,2,601743,4,897686,4,897688,913654,39300,0819,76,92,1,4
237,20160113,6,380276,6,443695,6,380275,6,380277,6,443694,6,443696,683359,49425,0521,79,84,0,1
238,20160120,1,369931,7,225522,1,369930,1,369932,7,225521,7,225523,290473,37127,0436,32,82,0,7
239,20160127,4,173375,4,746276,4,173374,4,173376,4,746275,4,746277,571684,97550,0547,53,69,0,3
240,20160203,3,956904,6,806332,3,956903,3,956905,6,806331,6,806333,873210,97843,0573,62,80,6,7
241,20160210,6,805649,7,855968,6,805648,6,805650,7,855967,7,855969,970916,57121,0636,38,87,1,9
242,20160217,1,894040,7,541677,1,894039,1,894041,7,541676,7,541678,957011,85767,0109,29,68,5,7
243,20160224,1,286479,6,461831,1,286478,1,286480,6,461830,6,461832,441981,18626,0837,08,12,6,8
244,20160302,3,828789,4,393561,3,828788,3,828790,4,393560,4,393562,423510,73243,0068,14,78,4,8
245,20160309,2,228247,5,755622,2,228246,2,228248,5,755621,5,755623,901114,53285,0687,06,45,1,9
246,20160316,2,612928,3,729441,2,612927,2,612929,3,729440,3,729442,418649,15716,0148,04,66,3,6
247,20160323,4,289158,7,619265,4,289157,4,289159,7,619264,7,619266,644237,94662,0429,40,99,8,9
248,20160330,3,839400,5,862720,3,839399,3,839401,5,862719,5,862721,919057,08271,0048,15,22,3,8
249,20160406,2,845664,4,124560,2,845663,2,845665,4,124559,4,124561,409744,91692,0660,24,82,3,7
250,20160413,5,604628,7,980097,5,604627,5,604629,7,980096,7,980098,830582,63189,0985,59,99,3,6
251,20160420,4,116632,5,313613,4,116631,4,116633,5,313612,5,313614,686509,68585,0362,06,89,5,8
252,20160427,4,832992,7,453106,4,832991,4,832993,7,453105,7,453107,769439,39540,0314,34,37,0,6
253,20160504,2,599094,4,494195,2,599093,2,599095,4,494194,4,494196,856424,47087,0193,40,75,7,9
